# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.module.ms,1717447555269000000,1717447615295000000,0
jps.apply.loaded.storage.ms,1717447555269000000,1717447615295000000,550
jps.load.initial.state.ms,1717447555269000000,1717447615295000000,32
workspaceModel.moduleManagerBridge.load.all.modules.ms,1717447555269000000,1717447615295000000,154
jps.save.changed.project.entities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1717447555269000000,1717447615295000000,0
jps.save.global.entities.ms,1717447555269000000,1717447615295000000,0
jps.global.get.libraries.ms,1717447555269000000,1717447615295000000,2
jps.app.storage.content.reader.load.component.ms,1717447555269000000,1717447615295000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1717447555269000000,1717447615295000000,0
workspaceModel.orphan.listener.update.ms,1717447555269000000,1717447615295000000,7
jps.global.get.library.ms,1717447555269000000,1717447615295000000,0
workspaceModel.load.cache.metadata.from.file.ms,1717447555269000000,1717447615295000000,0
jps.project.serializers.save.ms,1717447555269000000,1717447615295000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1717447555269000000,1717447615295000000,5
workspaceModel.mutableEntityStorage.replace.by.source.ms,1717447555269000000,1717447615295000000,18
jps.artifact.entities.serializer.save.entities.ms,1717447555269000000,1717447615295000000,0
jps.global.initialize.library.bridges.after.loading.ms,1717447555269000000,1717447615295000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1717447555269000000,1717447615295000000,35
workspaceModel.mutableEntityStorage.entities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.global.updates.count,1717447555269000000,1717447615295000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1717447555269000000,1717447615295000000,25
workspaceModel.global.updates.ms,1717447555269000000,1717447615295000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1717447555269000000,1717447615295000000,0
workspaceModel.load.cache.from.file.ms,1717447555269000000,1717447615295000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1717447555269000000,1717447615295000000,3
jps.storage.jps.conf.reader.load.component.ms,1717447555269000000,1717447615295000000,39
workspaceModel.global.apply.state.to.project.ms,1717447555269000000,1717447615295000000,0
workspaceModel.moduleBridge.before.changed.ms,1717447555269000000,1717447615295000000,0
workspaceModel.do.save.caches.ms,1717447555269000000,1717447615295000000,485
jps.global.initialize.library.bridges.ms,1717447555269000000,1717447615295000000,0
jps.library.entities.serializer.save.entities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1717447555269000000,1717447615295000000,7
workspaceModel.moduleManagerBridge.get.modules.ms,1717447555269000000,1717447615295000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1717447555269000000,1717447615295000000,3
jps.artifact.entities.serializer.load.entities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1717447555269000000,1717447615295000000,1
jps.global.get.library.by.name.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.commit.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1717447555269000000,1717447615295000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1717447555269000000,1717447615295000000,0
FlushQueue.waitingTimeAvgNs,1717447555269000000,1717447615295000000,3.2536029586885244E8
FlushQueue.queueSize90P,1717447555269000000,1717447615295000000,25
FlushQueue.executionTimeAvgNs,1717447555269000000,1717447615295000000,4.159168380327869E7
FlushQueue.waitingTime90PNs,1717447555269000000,1717447615295000000,926941183
NonBlockingReadAction.failedExecutionsCount,1717447555269000000,1717447615295000000,2
AWTEventQueue.dispatchTime90PNs,1717447555269000000,1717447615295000000,85983231
AWTEventQueue.eventsDispatched,1717447555269000000,1717447615295000000,93
NonBlockingReadAction.failedExecutionTimeUs,1717447555269000000,1717447615295000000,994871
FlushQueue.queueSizeAvg,1717447555269000000,1717447615295000000,7.885245901639344
AWTEventQueue.dispatchTimeMaxNs,1717447555269000000,1717447615295000000,1308622847
NonBlockingReadAction.finalizedExecutionTimeUs,1717447555269000000,1717447615295000000,67364790
FlushQueue.waitingTimeMaxNs,1717447555269000000,1717447615295000000,1308622847
ReadAction.executionsCount,1717447555269000000,1717447615295000000,6201
AWTEventQueue.dispatchTimeTotalNS,1717447555269000000,1717447615295000000,5154302002
FlushQueue.queueSizeMax,1717447555269000000,1717447615295000000,36
FlushQueue.executionTimeMaxNs,1717447555269000000,1717447615295000000,1308622847
FlushQueue.executionTime90PNs,1717447555269000000,1717447615295000000,42205183
FlushQueue.tasksExecuted,1717447555269000000,1717447615295000000,122
NonBlockingReadAction.finalizedExecutionsCount,1717447555269000000,1717447615295000000,613
WriteAction.executionsCount,1717447555269000000,1717447615295000000,14
AWTEventQueue.dispatchTimeAvgNs,1717447555269000000,1717447615295000000,5.536863243010753E7
workspaceModel.workspaceFileIndexData.processFileSets.ms,1717447555269000000,1717447615295000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1717447555269000000,1717447615295000000,0
workspaceModel.initializing.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.update.unloaded.entities.ms,1717447555269000000,1717447615295000000,0
workspaceModel.cachedValue.calculated.ms,1717447555269000000,1717447615295000000,17
workspaceModel.full.replace.project.model.ms,1717447555269000000,1717447615295000000,445
workspaceModel.collect.changes.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1717447555269000000,1717447615295000000,126
workspaceModel.workspaceFileIndexData.instances.count,1717447555269000000,1717447615295000000,1
workspaceModel.to.snapshot.ms,1717447555269000000,1717447615295000000,0
workspaceModel.loading.total.ms,1717447555269000000,1717447615295000000,116
workspaceModel.entityStorageSnapshotImpl.instances.count,1717447555269000000,1717447615295000000,15
workspaceModel.replace.project.model.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1717447555269000000,1717447615295000000,0
workspaceModel.updates.ms,1717447555269000000,1717447615295000000,92
workspaceModel.cachedValueWithParameters.calculated.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.init.ms,1717447555269000000,1717447615295000000,12
workspaceModel.loading.from.cache.ms,1717447555269000000,1717447615295000000,93
workspaceModel.cachedValue.from.cache.ms,1717447555269000000,1717447615295000000,0
workspaceModel.check.recursive.update.ms,1717447555269000000,1717447615295000000,2
workspaceModel.cachedValueWithParameters.from.cache.ms,1717447555269000000,1717447615295000000,0
workspaceModel.init.bridges.ms,1717447555269000000,1717447615295000000,4
workspaceModel.cachedValueWithParameters.clear.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1717447555269000000,1717447615295000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1717447555269000000,1717447615295000000,5
workspaceModel.pre.handlers.ms,1717447555269000000,1717447615295000000,5
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1717447555269000000,1717447615295000000,14
workspaceModel.cachedValue.clear.ms,1717447555269000000,1717447615295000000,3
workspaceModel.workspaceFileIndexData.getPackageName.ms,1717447555269000000,1717447615295000000,0
workspaceModel.updates.precise.ms,1717447555269000000,1717447615295000000,9
workspaceModel.cachedValue.total.get.ms,1717447555269000000,1717447615295000000,17
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1717447555269000000,1717447615295000000,3
workspaceModel.updates.count,1717447555269000000,1717447615295000000,2
FilePageCacheLockFree.heapBytesInUse,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalPagesWriteMs,1717447555269000000,1717447615295000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1717447555269000000,1717447615295000000,0
FilePageCache.uncachedFileAccess,1717447555269000000,1717447615295000000,1212
FilePageCacheLockFree.totalPagesRequested,1717447555269000000,1717447615295000000,0
FilePageCache.maxRegisteredFiles,1717447555269000000,1717447615295000000,1116
FilePageCacheLockFree.totalBytesRead,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.nativeBytesInUse,1717447555269000000,1717447615295000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1717447555269000000,1717447615295000000,14943
StreamlinedBlobStorage.recordsAllocated,1717447555269000000,1717447615295000000,888
MappedFileStorage.totalTimeSpentOnMappingUs,1717447555269000000,1717447615295000000,58646853
StreamlinedBlobStorage.recordsDeleted,1717447555269000000,1717447615295000000,0
FilePageCache.capacityInBytes,1717447555269000000,1717447615295000000,503316478
MappedFileStorage.totalPagesMapped,1717447555269000000,1717447615295000000,16
FilePageCacheLockFree.totalPagesWritten,1717447555269000000,1717447615295000000,0
FilePageCache.pageLoads,1717447555269000000,1717447615295000000,482
FilePageCacheLockFree.totalBytesRequested,1717447555269000000,1717447615295000000,0
DirectByteBufferAllocator.misses,1717447555269000000,1717447615295000000,480
FilePageCacheLockFree.totalPageAllocationsWaited,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalPagesAllocated,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717447555269000000,1717447615295000000,0
DirectByteBufferAllocator.hits,1717447555269000000,1717447615295000000,116
